Microsoft, $MSFT
Apple, $APPL
Amazon, $AMZN
Alphabet Class C, $GOOG
Alphabet Class A, $GOOGL
Facebook, $FB
Berkshire Hathaway, $BRK.B
Johnson & Johnson, $JNJ
Visa, $V
Procter & Gamble, $PG
JPMorgan, $JPM
UnitedHealth, $UNH
Mastercard, $MA
Intel, $INTC
Verizon, $VZ
Home Depot, $HD
AT&T, $T
Pfizer, $PFE
Merck, $MRK
PepsiCo, $PEP
